file,priority,rawInput,rawSelect,rawTextarea,inlineStyle,arbitraryZ,manualPalette,createPortal,rawTable,TextField,SelectField,TextareaField,SearchableSelectField,AppSearchField,ModalField,DialogShell,AppModal,DataTableShell,ManagementDirectoryTable
pages/settings/SettingsPartnerNotice.tsx,P1,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0
pages/inventory/InventoryHub.tsx,P1,0,0,0,0,0,22,0,1,3,0,0,1,0,0,0,0,1,0
pages/settings/SettingsHeaderBar.tsx,P1,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0
pages/Purchases.tsx,P1,2,0,0,0,0,15,0,0,0,0,0,2,0,0,0,0,0,0
pages/InstallmentSaleContractPrintPage.tsx,P1,0,0,0,13,0,15,0,3,0,0,0,0,0,0,0,0,0,0
pages/settings/SettingsWorkspaceSection.tsx,P1,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0
pages/settings/LazySettingsTelegramPanel.tsx,P1,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0
pages/RepairReceipt.tsx,P1,0,0,0,3,0,10,0,1,0,0,0,0,0,0,0,0,0,0
pages/settings/SettingsRemindersPanel.tsx,P1,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
pages/Partners.tsx,P1,0,0,0,0,0,4,0,0,4,1,2,0,0,7,0,0,0,0
pages/settings/SettingsRestoreModal.tsx,P1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
pages/mobilePhones/MobilePhonesRender.tsx,P1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pages/reports/InventoryAnalysisReport.tsx,P1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0
pages/reports/TopCustomersReport.tsx,P1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
pages/settings/SettingsUsersPanel.tsx,P1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0
pages/Dashboard.tsx,P2,2,0,0,0,0,745,0,0,0,0,0,0,0,0,0,0,0,0
components/ReminderRulesBuilder.tsx,P2,5,0,0,0,0,530,0,0,0,2,2,0,0,0,0,0,0,0
pages/reports/ProductSalesReport.tsx,P2,0,0,0,1,0,446,0,1,0,3,0,0,1,0,1,0,1,0
pages/partnerDetail/PartnerLedgerWorkspaceSection.tsx,P2,1,0,0,0,0,355,0,1,0,3,0,0,1,0,0,0,1,0
pages/customerDetail/CustomerTelegramConversationSection.tsx,P2,2,0,0,0,0,339,0,0,1,0,1,0,0,0,0,0,0,0
pages/customerDetail/CustomerDetailHeroOverviewSection.tsx,P2,1,0,0,0,0,327,0,0,0,0,0,0,0,0,0,0,0,0
pages/customerDetail/CustomerLedgerRenderSection.tsx,P2,1,0,0,0,0,310,0,0,0,2,0,0,0,0,0,0,0,0
pages/partnerDetail/PartnerDetailController.tsx,P2,0,0,0,0,0,308,0,1,0,0,0,0,0,0,0,0,0,0
pages/SearchResults.tsx,P2,1,0,0,0,1,298,0,0,0,0,0,0,0,0,0,0,0,0
pages/settings/StoreOwnershipPage.tsx,P2,0,0,0,3,0,279,0,3,6,0,1,2,0,0,0,0,0,0
pages/partnerDetail/PartnerTelegramConversationSection.tsx,P2,0,0,0,0,0,241,0,0,0,0,1,0,1,0,0,0,0,0
pages/reports/RealizedProfitReport.tsx,P2,0,0,0,2,0,232,0,0,0,0,0,0,1,0,0,0,0,0
components/SmsLogsPanel.tsx,P2,0,0,0,0,0,231,0,0,1,3,0,0,0,0,0,0,0,0
pages/customerDetail/CustomerDetailController.tsx,P2,0,0,0,0,0,224,0,0,0,0,0,0,0,0,0,0,0,0
pages/reports/PartnerPerformanceReport.tsx,P2,3,0,0,0,0,218,0,14,0,1,1,3,0,0,0,0,0,0
components/AiFeatureControlPanel.tsx,P2,0,0,0,1,0,176,0,0,0,0,0,0,0,0,0,0,0,0
pages/partnerDetail/PartnerSettlementAtomicSubmitContractSection.tsx,P2,0,0,0,0,0,175,0,0,0,0,0,0,0,0,0,0,0,0
pages/SalesCartPage.tsx,P2,0,0,0,0,0,165,0,0,0,0,0,1,0,0,0,0,0,0
pages/partnerDetail/PartnerSettlementAtomicSubmitDryRunHarnessSection.tsx,P2,0,0,0,0,0,163,0,0,0,0,0,0,0,0,0,0,0,0
components/TelegramLogsPanel.tsx,P2,0,0,0,0,0,159,0,1,1,2,0,0,0,0,0,0,0,0
pages/partnerDetail/PartnerSettlementReviewFlowSection.tsx,P2,0,0,0,0,0,154,0,0,0,0,0,0,0,0,0,0,0,0
pages/reports/MobileSalesAnalytics.tsx,P2,0,0,0,0,0,154,0,4,0,1,0,0,1,0,1,0,4,0
pages/partnerDetail/PartnerSettlementConfirmationDraftSection.tsx,P2,0,0,0,0,0,153,0,0,0,0,0,0,0,0,0,0,0,0
pages/partnerDetail/PartnerSettlementExecutionDraftSection.tsx,P2,0,0,0,0,0,153,0,0,0,0,0,0,0,0,0,0,0,0
pages/partnerDetail/PartnerSettlementAuditTrailPreviewSection.tsx,P2,0,0,0,0,0,152,0,0,0,0,0,0,0,0,0,0,0,0
pages/partnerDetail/PartnerSettlementGuardedSubmitDesignSection.tsx,P2,0,0,0,0,0,151,0,0,0,0,0,0,0,0,0,0,0,0
pages/partnerDetail/PartnerPhoneCapitalSection.tsx,P2,0,0,0,0,0,140,0,1,0,2,0,0,1,0,0,0,1,0
pages/Profile.tsx,P2,0,0,0,0,0,138,0,0,0,0,0,0,0,0,0,0,0,0
pages/partnerDetail/PartnerBusinessSettlementReadinessSection.tsx,P2,0,0,0,0,0,137,0,0,0,0,0,0,0,0,0,0,0,0
pages/partnerDetail/PartnerSettlementSubmitUiIntegrationSection.tsx,P2,0,0,0,0,0,136,0,0,0,0,0,0,0,0,0,0,0,0
pages/partnerDetail/PartnerSettlementReconciliationExportSignoffPackSection.tsx,P2,0,0,0,0,0,133,0,0,0,0,0,0,0,0,0,0,0,0
pages/reports/AnalyticsDashboard.tsx,P2,1,0,0,0,0,132,0,4,0,0,0,0,0,0,0,0,4,0
pages/partnerDetail/PartnerSettlementPostSubmitReconciliationReviewSection.tsx,P2,0,0,0,0,0,126,0,0,0,0,0,0,0,0,0,0,0,0
pages/partnerDetail/PartnerPurchaseHistorySection.tsx,P2,0,0,0,0,0,125,0,1,0,1,0,0,0,0,0,0,0,0
