order,file,bytes,phase_marker
1,styles/legacy/09a-legacy-global-modal-drawer-unification.css,3384,/* Phase 47: global modal + drawer unification */
2,styles/legacy/09b-legacy-global-toast-alert-status.css,3453,/* Phase 48: global toast + alert + status badge unification */
3,styles/legacy/09c-legacy-global-nav-sidebar-topbar.css,3759,/* Phase 49: global navbar + sidebar + topbar unification */
4,styles/legacy/09d-legacy-global-charts-kpi-dashboard.css,3219,/* Phase 50: global charts + KPI cards + dashboard widget unification */
