order,file,bytes,lines,start_marker
1,styles/legacy/05a-legacy-button-icon-baseline.css,1837,88,/* Phase 26: button and quick-link refinement */
2,styles/legacy/05b-legacy-quick-link-cards.css,1495,66,.ux-quick-link {
3,styles/legacy/05c-legacy-unified-button-hardening.css,2437,119,/* Phase 27: unified button system hardening */
4,styles/legacy/05d-legacy-report-filter-sales-mobile-buttons.css,1378,63,".report-filter-button,"
