selector,occurrences,file_count,files
.customer-detail-hero__top,5,3,styles/runtime-overrides/01a4-people-detail-repair-header-filters.css | styles/runtime-overrides/01a5-partner-command-detail-refinement.css | styles/runtime-overrides/01a6-detail-kpi-filter-icon-system.css
.phone-addable-autocomplete:focus-within,5,3,styles/runtime-overrides/01b-people-foundation-after-fields.css | styles/runtime-overrides/03b-reports-mobile-settings-smoke.css | styles/runtime-overrides/05-mobile-phones.css
"html.dark .app-sidebar .ux-sidebar-list .sidebar-nav-row[data-sidebar-active=""true""] .icon-bubble",5,3,styles/runtime-overrides/03e-sidebar-settings-dashboard-root-fixes.css | styles/runtime-overrides/09a-telegram-settings-foundation.css | styles/runtime-overrides/10f-sidebar-final-polish.css
.app-textarea,5,2,styles/components/cards.css | styles/components/unified-fields.css
.ux-table-shell,5,2,styles/components/toolbars.css | styles/legacy-monolith.css
.report-filter-grid--date-pair,5,2,styles/components/filters.css | styles/runtime-overrides/06c-reports-consolidation-filters.css
.report-filter-grid--dates-xl,5,2,styles/components/filters.css | styles/runtime-overrides/06c-reports-consolidation-filters.css
.report-date-presets,5,2,styles/pages/reports.css | styles/runtime-overrides/01b-people-foundation-after-fields.css
.report-date-presets__chips,5,2,styles/pages/reports.css | styles/runtime-overrides/01b-people-foundation-after-fields.css
#telegram-settings-form .tg-apple-setup-card__status,5,2,styles/pages/telegram.css | styles/runtime-overrides/09d9-telegram-monitor-anchoring-hotfixes.css
#telegram-settings-form .tg-apple-setup-card__icon,5,2,styles/pages/telegram.css | styles/runtime-overrides/09d9-telegram-monitor-anchoring-hotfixes.css
#telegram-settings-form .tg-apple-setup-card__hint,5,2,styles/pages/telegram.css | styles/runtime-overrides/09d9-telegram-monitor-anchoring-hotfixes.css
#telegram-settings-form .telegram-monitor-v2-head,5,2,styles/pages/telegram.css | styles/runtime-overrides/09b-telegram-control-center-monitoring.css
.ux-btn-primary,5,2,styles/legacy-monolith.css | styles/runtime-overrides/01b-people-foundation-after-fields.css
.ux-btn-success,5,2,styles/legacy-monolith.css | styles/runtime-overrides/01b-people-foundation-after-fields.css
.ux-btn-danger,5,2,styles/legacy-monolith.css | styles/runtime-overrides/01b-people-foundation-after-fields.css
.ux-textarea,5,2,styles/legacy-monolith.css | styles/components/unified-fields.css
.app-toast,5,2,styles/legacy-monolith.css | styles/components/toasts.css
.ux-panel-card__header,5,2,styles/legacy-monolith.css | styles/components/modals.css
.premium-data-shell,5,2,styles/legacy-monolith.css | styles/runtime-overrides/03d-legacy-telegram-monitor-patches.css
.people-hero-panel,5,2,styles/runtime-overrides/01a2-people-page-hero-lists.css | styles/runtime-overrides/02e-people-commercial-redesign.css
.report-local-filter-pill,5,2,styles/runtime-overrides/06c-reports-consolidation-filters.css | styles/runtime-overrides/06d-kpi-navigation-density-mobile.css
#telegram-settings-form .telegram-monitor-v2-checkcard__copy,5,2,styles/runtime-overrides/09b-telegram-control-center-monitoring.css | styles/runtime-overrides/09c-telegram-template-center-cards.css
#telegram-settings-form .telegram-monitor-v2-checkcard strong,5,2,styles/runtime-overrides/09b-telegram-control-center-monitoring.css | styles/runtime-overrides/09c-telegram-template-center-cards.css
#telegram-settings-form .telegram-monitor-v2-checkcard p,5,2,styles/runtime-overrides/09b-telegram-control-center-monitoring.css | styles/runtime-overrides/09c-telegram-template-center-cards.css
#telegram-settings-form .telegram-monitor-v2-checkcard__cta,5,2,styles/runtime-overrides/09b-telegram-control-center-monitoring.css | styles/runtime-overrides/09c-telegram-template-center-cards.css
#telegram-settings-form .telegram-template-status-grid,5,2,styles/runtime-overrides/09c-telegram-template-center-cards.css | styles/runtime-overrides/09d5-telegram-lower-stat-cards.css
.report-page :where(table),5,1,styles/pages/reports.css
.report-page :where(tbody tr:hover),5,1,styles/pages/reports.css
.dark .ux-btn-secondary,5,1,styles/legacy-monolith.css
.sales-toolbar-btn.ux-btn,5,1,styles/legacy-monolith.css
.dashboard-widget,5,1,styles/legacy-monolith.css
.phone-register-submitbar,5,1,styles/runtime-overrides/05-mobile-phones.css
.header-quick-role-pill,5,1,styles/runtime-overrides/06d-kpi-navigation-density-mobile.css
.phone-card-footer,5,1,styles/runtime-overrides/07b-products-modal-responsive-polish.css
.phone-card-actions,5,1,styles/runtime-overrides/07b-products-modal-responsive-polish.css
#products-print-area .product-list-table td:nth-child(1),5,1,styles/runtime-overrides/07e-product-list-table-density.css
.people-customers-shell .customers-toolbar__inline-strip,5,1,styles/runtime-overrides/08c-customers-partners-headers.css
#telegram-settings-form .telegram-accordion-panel__header .ux-btn__label-main,5,1,styles/runtime-overrides/09e-telegram-accordion-logs-modals.css
.sms-pattern-test-modal__tokens,5,1,styles/runtime-overrides/09e-telegram-accordion-logs-modals.css
.sms-pattern-preview-modal__tokens,5,1,styles/runtime-overrides/09e-telegram-accordion-logs-modals.css
.sms-bulk-test-modal__patternGrid,5,1,styles/runtime-overrides/09e-telegram-accordion-logs-modals.css
.sms-bulk-test-modal__checks,5,1,styles/runtime-overrides/09e-telegram-accordion-logs-modals.css
.installment-card-actions,4,4,styles/components/tables.css | styles/components/toolbars.css | styles/components/unified-buttons.css | styles/runtime-overrides/01a7-shared-primitives-button-system.css
.dark .detail-hero-card__icon,4,4,styles/pages/settings.css | styles/legacy-monolith.css | styles/components/detail-hero.css | styles/runtime-overrides/02e-people-commercial-redesign.css
.people-stat-card__value,4,4,styles/legacy-monolith.css | styles/runtime-overrides/01a2-people-page-hero-lists.css | styles/runtime-overrides/02e-people-commercial-redesign.css | styles/runtime-overrides/04b-people-list-unification.css
.dark .customers-hero-panel,4,4,styles/legacy-monolith.css | styles/pages/customers-shell.css | styles/runtime-overrides/01a2-people-page-hero-lists.css | styles/runtime-overrides/02e-people-commercial-redesign.css
.customers-hero-subtitle,4,4,styles/legacy-monolith.css | styles/pages/customers-shell.css | styles/runtime-overrides/01a2-people-page-hero-lists.css | styles/runtime-overrides/02e-people-commercial-redesign.css
a.ux-btn,4,4,styles/components/unified-buttons.css | styles/runtime-overrides/01a7-shared-primitives-button-system.css | styles/runtime-overrides/01b-people-foundation-after-fields.css | styles/runtime-overrides/09a-telegram-settings-foundation.css
.ledger-action-btn:hover,4,4,styles/components/unified-buttons.css | styles/runtime-overrides/01a4-people-detail-repair-header-filters.css | styles/runtime-overrides/01a7-shared-primitives-button-system.css | styles/runtime-overrides/06a-enterprise-actions-fields-validation.css
.people-filter-bar,4,4,styles/runtime-overrides/01a2-people-page-hero-lists.css | styles/runtime-overrides/01a4-people-detail-repair-header-filters.css | styles/runtime-overrides/01a5-partner-command-detail-refinement.css | styles/runtime-overrides/04b-people-list-unification.css
.people-filter-chip i,4,4,styles/runtime-overrides/01a4-people-detail-repair-header-filters.css | styles/runtime-overrides/01a6-detail-kpi-filter-icon-system.css | styles/components/unified-fields.css | styles/runtime-overrides/02e-people-commercial-redesign.css
.dark #telegram-settings-form .telegram-monitor-v2-action__label,4,4,styles/runtime-overrides/09b-telegram-control-center-monitoring.css | styles/runtime-overrides/09d7-telegram-monitor-card-standard.css | styles/runtime-overrides/09d8-telegram-monitor-size-placement-contract.css | styles/runtime-overrides/09d9-telegram-monitor-anchoring-hotfixes.css
html,4,3,index.css | styles/layout/print.css | styles/legacy-monolith.css
button,4,3,index.css | styles/layout/responsive.css | styles/legacy-monolith.css
table:not(.unstyled-table) thead th,4,3,styles/components/tables.css | styles/components/toolbars.css | styles/legacy-monolith.css
.premium-modal-shell,4,3,styles/components/cards.css | styles/legacy-monolith.css | styles/components/modals.css
.ux-filter-chip,4,3,styles/components/toolbars.css | styles/legacy-monolith.css | styles/components/unified-fields.css
.kpi-grid,4,3,styles/pages/reports.css | styles/legacy-monolith.css | styles/components/badges.css
.kpi-label,4,3,styles/pages/reports.css | styles/legacy-monolith.css | styles/components/badges.css
#telegram-settings-form .tg-apple-queue-panel,4,3,styles/pages/telegram.css | styles/runtime-overrides/09a-telegram-settings-foundation.css | styles/runtime-overrides/09b-telegram-control-center-monitoring.css
.partners-toolbar-summary__item,4,3,styles/pages/partners.css | styles/runtime-overrides/01a4-people-detail-repair-header-filters.css | styles/runtime-overrides/04b-people-list-unification.css
.modal-close-btn,4,3,styles/legacy-monolith.css | styles/components/forms.css | styles/components/modals.css
.detail-kpi-grid,4,3,styles/legacy-monolith.css | styles/components/badges.css | styles/runtime-overrides/01a6-detail-kpi-filter-icon-system.css
.premium-sticky-footer,4,3,styles/legacy-monolith.css | styles/components/forms.css | styles/components/modals.css
.people-filter-chip .ux-btn__icon,4,3,styles/legacy-monolith.css | styles/runtime-overrides/01a6-detail-kpi-filter-icon-system.css | styles/runtime-overrides/01a7-shared-primitives-button-system.css
.people-mobile-card,4,3,styles/legacy-monolith.css | styles/runtime-overrides/01a2-people-page-hero-lists.css | styles/runtime-overrides/04b-people-list-unification.css
.ux-btn[disabled],4,3,styles/legacy-monolith.css | styles/components/unified-buttons.css | styles/runtime-overrides/01a7-shared-primitives-button-system.css
.customers-toolbar__group,4,3,styles/legacy-monolith.css | styles/runtime-overrides/01a4-people-detail-repair-header-filters.css | styles/runtime-overrides/04b-people-list-unification.css
.premium-form-section-header__actions,4,3,styles/legacy-monolith.css | styles/components/forms.css | styles/components/modals.css
.ux-btn--native.ux-btn-sm,4,3,styles/legacy-monolith.css | styles/components/unified-buttons.css | styles/runtime-overrides/09a-telegram-settings-foundation.css
.ux-btn--native.ux-btn-xs,4,3,styles/legacy-monolith.css | styles/components/unified-buttons.css | styles/runtime-overrides/09a-telegram-settings-foundation.css
.ux-btn--native.ux-btn-lg,4,3,styles/legacy-monolith.css | styles/components/unified-buttons.css | styles/runtime-overrides/09a-telegram-settings-foundation.css
.partners-action-btn--spacious,4,3,styles/components/unified-buttons.css | styles/runtime-overrides/01a1-people-table-action-baseline.css | styles/runtime-overrides/01a5-partner-command-detail-refinement.css
.people-top-nav,4,3,styles/runtime-overrides/01a2-people-page-hero-lists.css | styles/runtime-overrides/02e-people-commercial-redesign.css | styles/runtime-overrides/04b-people-list-unification.css
.people-unified-hero__top,4,3,styles/runtime-overrides/01a4-people-detail-repair-header-filters.css | styles/runtime-overrides/02e-people-commercial-redesign.css | styles/runtime-overrides/04b-people-list-unification.css
".app-sidebar .ux-sidebar-list .sidebar-nav-row[data-sidebar-active=""true""] .icon-bubble",4,3,styles/runtime-overrides/03e-sidebar-settings-dashboard-root-fixes.css | styles/runtime-overrides/09a-telegram-settings-foundation.css | styles/runtime-overrides/10f-sidebar-final-polish.css
.people-finance-modal__grid,4,3,styles/runtime-overrides/04e-people-finance-transaction-modals.css | styles/runtime-overrides/08e-finance-modal-polish.css | styles/runtime-overrides/10b-finance-tables-density-system.css
.phone-inventory-table-v2 .phone-table-actions-cell,4,3,styles/runtime-overrides/05-mobile-phones.css | styles/runtime-overrides/06a-enterprise-actions-fields-validation.css | styles/runtime-overrides/06d-kpi-navigation-density-mobile.css
.phone-inventory-table-v2 .phone-table-actions-wrap,4,3,styles/runtime-overrides/05-mobile-phones.css | styles/runtime-overrides/06a-enterprise-actions-fields-validation.css | styles/runtime-overrides/06d-kpi-navigation-density-mobile.css
.phone-inventory-table-v2 th:nth-child(4),4,3,styles/runtime-overrides/06a-enterprise-actions-fields-validation.css | styles/runtime-overrides/07a-products-modal-precision-cleanup.css | styles/runtime-overrides/07b-products-modal-responsive-polish.css
.phone-inventory-table-v2 td:nth-child(4),4,3,styles/runtime-overrides/06a-enterprise-actions-fields-validation.css | styles/runtime-overrides/07a-products-modal-precision-cleanup.css | styles/runtime-overrides/07b-products-modal-responsive-polish.css
.phone-table-inline-actions,4,3,styles/runtime-overrides/06e-accessibility-rtl-targeted-fixes.css | styles/runtime-overrides/07a-products-modal-precision-cleanup.css | styles/runtime-overrides/07b-products-modal-responsive-polish.css
.partners-table-shell .partners-actions,4,3,styles/runtime-overrides/07f-cross-module-density-pass.css | styles/runtime-overrides/08a-unified-table-actions.css | styles/runtime-overrides/08d-people-table-detail-contracts.css
.app-input,4,2,styles/components/cards.css | styles/components/unified-fields.css
.repair-status-pill,4,2,styles/components/cards.css | styles/components/badges.css
.ux-action-bar,4,2,styles/components/toolbars.css | styles/legacy-monolith.css
table:not(.unstyled-table) tbody tr,4,2,styles/components/toolbars.css | styles/legacy-monolith.css
.report-filter-grid,4,2,styles/components/filters.css | styles/runtime-overrides/06c-reports-consolidation-filters.css
.report-filter-grid--wide,4,2,styles/components/filters.css | styles/runtime-overrides/06c-reports-consolidation-filters.css
.report-filter-grid--compact,4,2,styles/components/filters.css | styles/runtime-overrides/06c-reports-consolidation-filters.css
.command-palette-panel,4,2,styles/pages/reports.css | styles/runtime-overrides/03f-stable-panels-dashboard-clock.css
from,4,2,styles/pages/reports.css | styles/legacy-monolith.css
.premium-stat-card,4,2,styles/pages/reports.css | styles/legacy-monolith.css
.report-date-presets__label,4,2,styles/pages/reports.css | styles/runtime-overrides/01b-people-foundation-after-fields.css
.report-date-preset-chip,4,2,styles/pages/reports.css | styles/runtime-overrides/01b-people-foundation-after-fields.css
.tg-panel__header,4,2,styles/pages/telegram.css | styles/components/modals.css
"[id^=""tg-anchor-""]",4,2,styles/pages/telegram.css | styles/runtime-overrides/02b-settings-telegram-compact.css
#telegram-settings-form .tg-apple-setup-card__title,4,2,styles/pages/telegram.css | styles/runtime-overrides/09d9-telegram-monitor-anchoring-hotfixes.css
.premium-drawer-panel__body,4,2,styles/legacy-monolith.css | styles/components/modals.css
18%,4,2,styles/legacy-monolith.css | styles/runtime-overrides/06a-enterprise-actions-fields-validation.css
.ux-icon-btn,4,2,styles/legacy-monolith.css | styles/runtime-overrides/01b-people-foundation-after-fields.css
.dark .people-stat-card,4,2,styles/legacy-monolith.css | styles/runtime-overrides/02e-people-commercial-redesign.css
.ux-input,4,2,styles/legacy-monolith.css | styles/components/unified-fields.css
.ux-section-header,4,2,styles/legacy-monolith.css | styles/components/modals.css
.app-toast-loading,4,2,styles/legacy-monolith.css | styles/components/toasts.css
.wizard-bottom-modern,4,2,styles/legacy-monolith.css | styles/components/modals.css
.people-metric-pill,4,2,styles/legacy-monolith.css | styles/components/badges.css
.ux-section-header--premium,4,2,styles/legacy-monolith.css | styles/components/modals.css
.premium-section-header,4,2,styles/legacy-monolith.css | styles/components/modals.css
"input:not([type=""checkbox""]):not([type=""radio""]):not([type=""range""]):not([type=""color""])",4,2,styles/legacy-monolith.css | styles/components/unified-fields.css
.ledger-action-btn > i,4,2,styles/components/unified-buttons.css | styles/runtime-overrides/01a7-shared-primitives-button-system.css
.ledger-action-btn .ux-btn__icon,4,2,styles/components/unified-buttons.css | styles/runtime-overrides/01a7-shared-primitives-button-system.css
.people-unified-hero__body,4,2,styles/runtime-overrides/01a4-people-detail-repair-header-filters.css | styles/runtime-overrides/04b-people-list-unification.css
.detail-account-focus,4,2,styles/runtime-overrides/01a5-partner-command-detail-refinement.css | styles/runtime-overrides/01a6-detail-kpi-filter-icon-system.css
"html.dark .app-sidebar .ux-sidebar-list .sidebar-nav-row[data-sidebar-active=""true""]",4,2,styles/runtime-overrides/03e-sidebar-settings-dashboard-root-fixes.css | styles/runtime-overrides/10f-sidebar-final-polish.css
.settings-data-panel .backup-file-card__actions,4,2,styles/runtime-overrides/06a-enterprise-actions-fields-validation.css | styles/runtime-overrides/06d-kpi-navigation-density-mobile.css
".premium-modal-shell :where(.inventory-premium-input, .inventory-premium-select, .modal-control-premium)",4,2,styles/runtime-overrides/07a-products-modal-precision-cleanup.css | styles/runtime-overrides/07b-products-modal-responsive-polish.css
.message-composer-channel.apple-choice-toggle,4,2,styles/runtime-overrides/08b-message-composer-controls.css | styles/runtime-overrides/08d-people-table-detail-contracts.css
.people-customers-shell .customers-toolbar__select-wrap.customers-toolbar__item,4,2,styles/runtime-overrides/08c-customers-partners-headers.css | styles/runtime-overrides/08d-people-table-detail-contracts.css
#telegram-settings-form .telegram-monitor-v2-checkcard__chip,4,2,styles/runtime-overrides/09b-telegram-control-center-monitoring.css | styles/runtime-overrides/09c-telegram-template-center-cards.css
#telegram-settings-form .telegram-studio-mode-button,4,2,styles/runtime-overrides/09c-telegram-template-center-cards.css | styles/runtime-overrides/09d1-telegram-studio-filter-controls.css
.report-filter-inline-actions,4,1,styles/components/filters.css
#telegram-settings-form .telegram-chatid-picker__btn,4,1,styles/pages/telegram.css
#telegram-settings-form .telegram-chatid-guide,4,1,styles/pages/telegram.css
#telegram-settings-form .telegram-chatid-guide__head,4,1,styles/pages/telegram.css
#telegram-settings-form .telegram-chatid-guide__steps,4,1,styles/pages/telegram.css
"button[class*=""rounded""][class*=""bg-""]",4,1,styles/legacy-monolith.css
"button[class*=""rounded""][class*=""border""]",4,1,styles/legacy-monolith.css
"button[class*=""bg-""][class*=""px-""]",4,1,styles/legacy-monolith.css
"button[class*=""border""][class*=""px-""]",4,1,styles/legacy-monolith.css
.telegram-link-modal__hero-icon,4,1,styles/legacy-monolith.css
.dark .ux-btn-ghost,4,1,styles/legacy-monolith.css
.phone-register-submitbar__submit,4,1,styles/runtime-overrides/05-mobile-phones.css
.phone-register-submitbar__reset,4,1,styles/runtime-overrides/05-mobile-phones.css
.dashboard-kpi-surface-note,4,1,styles/runtime-overrides/06d-kpi-navigation-density-mobile.css
.settings-data-panel .backup-file-action,4,1,styles/runtime-overrides/06d-kpi-navigation-density-mobile.css
.phone-card-surface,4,1,styles/runtime-overrides/07b-products-modal-responsive-polish.css
.people-customers-shell .customers-toolbar__summary--premium.customers-toolbar__item,4,1,styles/runtime-overrides/08c-customers-partners-headers.css
#telegram-settings-form .telegram-monitor-v2-score,4,1,styles/runtime-overrides/09b-telegram-control-center-monitoring.css
#telegram-settings-form .telegram-monitor-v2-overview,4,1,styles/runtime-overrides/09b-telegram-control-center-monitoring.css
#telegram-settings-form .telegram-monitor-v2-scorecard,4,1,styles/runtime-overrides/09b-telegram-control-center-monitoring.css
#telegram-settings-form .telegram-monitor-v2-queuebox,4,1,styles/runtime-overrides/09b-telegram-control-center-monitoring.css
#telegram-settings-form .telegram-template-summary-card__title,4,1,styles/runtime-overrides/09c-telegram-template-center-cards.css
#telegram-settings-form .telegram-template-summary-card__desc,4,1,styles/runtime-overrides/09c-telegram-template-center-cards.css
#telegram-settings-form .telegram-accordion-panel__header .ux-btn__content,4,1,styles/runtime-overrides/09e-telegram-accordion-logs-modals.css
.tg-logs-apple__retryBtn,4,1,styles/runtime-overrides/09e-telegram-accordion-logs-modals.css
.tg-logs-apple__modalGrid,4,1,styles/runtime-overrides/09e-telegram-accordion-logs-modals.css
.tg-logs-apple__debugGrid,4,1,styles/runtime-overrides/09e-telegram-accordion-logs-modals.css
.sms-pattern-preview-modal__footer,4,1,styles/runtime-overrides/09e-telegram-accordion-logs-modals.css
.sms-pattern-test-modal__footer,4,1,styles/runtime-overrides/09e-telegram-accordion-logs-modals.css
.sms-bulk-test-modal__footer,4,1,styles/runtime-overrides/09e-telegram-accordion-logs-modals.css
input,3,3,index.css | styles/layout/responsive.css | styles/legacy-monolith.css
.ux-table-row-actions > button,3,3,styles/components/tables.css | styles/components/toolbars.css | styles/legacy-monolith.css
.ux-table-row-actions > a,3,3,styles/components/tables.css | styles/components/toolbars.css | styles/legacy-monolith.css
td .ux-table-row-actions > button,3,3,styles/components/tables.css | styles/components/toolbars.css | styles/legacy-monolith.css
td .ux-table-row-actions > a,3,3,styles/components/tables.css | styles/components/toolbars.css | styles/legacy-monolith.css
.premium-form-section,3,3,styles/components/cards.css | styles/components/forms.css | styles/runtime-overrides/03d-legacy-telegram-monitor-patches.css
.ux-table-shell__header,3,3,styles/components/toolbars.css | styles/pages/reports.css | styles/legacy-monolith.css
.report-filter-field,3,3,styles/components/filters.css | styles/pages/reports.css | styles/legacy-monolith.css
.dark .kpi-card,3,3,styles/pages/reports.css | styles/legacy-monolith.css | styles/components/badges.css
.ux-nav-compact .icon-bubble,3,3,styles/pages/telegram.css | styles/legacy-monolith.css | styles/layout/sidebar-chrome.css
#telegram-settings-form .tg-apple-queue-toolbar,3,3,styles/pages/telegram.css | styles/runtime-overrides/09a-telegram-settings-foundation.css | styles/runtime-overrides/09b-telegram-control-center-monitoring.css
#telegram-settings-form .tg-apple-queue-btn,3,3,styles/pages/telegram.css | styles/runtime-overrides/09a-telegram-settings-foundation.css | styles/runtime-overrides/09b-telegram-control-center-monitoring.css
.settings-mobile-tab,3,3,styles/pages/settings.css | styles/runtime-overrides/01a3-settings-adaptive-sidebar-cleanup.css | styles/runtime-overrides/09a-telegram-settings-foundation.css
.premium-tab-header,3,3,styles/pages/customers.css | styles/legacy-monolith.css | styles/layout/sidebar-chrome.css
.ux-nav-compact,3,3,styles/pages/customers.css | styles/legacy-monolith.css | styles/layout/sidebar-chrome.css
.dark .partners-hero,3,3,styles/pages/partners.css | styles/runtime-overrides/01a2-people-page-hero-lists.css | styles/runtime-overrides/02e-people-commercial-redesign.css
.partners-hero__title,3,3,styles/pages/partners.css | styles/runtime-overrides/01a2-people-page-hero-lists.css | styles/runtime-overrides/02e-people-commercial-redesign.css
.dark .partners-hero__title,3,3,styles/pages/partners.css | styles/runtime-overrides/01a2-people-page-hero-lists.css | styles/runtime-overrides/02e-people-commercial-redesign.css
.partners-hero__subtitle,3,3,styles/pages/partners.css | styles/runtime-overrides/01a2-people-page-hero-lists.css | styles/runtime-overrides/02e-people-commercial-redesign.css
.dark .partners-hero__subtitle,3,3,styles/pages/partners.css | styles/runtime-overrides/01a2-people-page-hero-lists.css | styles/runtime-overrides/02e-people-commercial-redesign.css
.partners-table-head,3,3,styles/pages/partners.css | styles/runtime-overrides/01a2-people-page-hero-lists.css | styles/runtime-overrides/04b-people-list-unification.css
.partners-table-row:hover,3,3,styles/pages/partners.css | styles/runtime-overrides/01a1-people-table-action-baseline.css | styles/runtime-overrides/04b-people-list-unification.css
.partners-row-avatar,3,3,styles/pages/partners.css | styles/runtime-overrides/01a2-people-page-hero-lists.css | styles/runtime-overrides/04b-people-list-unification.css
.partners-mobile-actions,3,3,styles/pages/partners.css | styles/runtime-overrides/01a1-people-table-action-baseline.css | styles/runtime-overrides/01a2-people-page-hero-lists.css
.partners-action-btn--primary,3,3,styles/pages/partners.css | styles/runtime-overrides/01a2-people-page-hero-lists.css | styles/runtime-overrides/04b-people-list-unification.css
.partners-action-btn--secondary,3,3,styles/pages/partners.css | styles/runtime-overrides/01a2-people-page-hero-lists.css | styles/runtime-overrides/04b-people-list-unification.css
.partners-action-btn--danger,3,3,styles/pages/partners.css | styles/runtime-overrides/01a2-people-page-hero-lists.css | styles/runtime-overrides/04b-people-list-unification.css
.detail-hero-card__icon,3,3,styles/legacy-monolith.css | styles/components/detail-hero.css | styles/runtime-overrides/02e-people-commercial-redesign.css
.ux-btn-xs.ux-btn--native[data-ux-icon-glyph]::before,3,3,styles/legacy-monolith.css | styles/components/unified-buttons.css | styles/runtime-overrides/01a7-shared-primitives-button-system.css
"html[data-button-icon-side=""end""] .ux-btn__content",3,3,styles/legacy-monolith.css | styles/components/unified-buttons.css | styles/runtime-overrides/01a7-shared-primitives-button-system.css
.people-stat-card__meta,3,3,styles/legacy-monolith.css | styles/runtime-overrides/01a2-people-page-hero-lists.css | styles/runtime-overrides/04b-people-list-unification.css
.people-filter-chip.is-active,3,3,styles/legacy-monolith.css | styles/runtime-overrides/02e-people-commercial-redesign.css | styles/runtime-overrides/04b-people-list-unification.css
.people-table-head,3,3,styles/legacy-monolith.css | styles/runtime-overrides/01a2-people-page-hero-lists.css | styles/runtime-overrides/04b-people-list-unification.css
.customers-hero-title-row,3,3,styles/legacy-monolith.css | styles/pages/customers-shell.css | styles/runtime-overrides/02e-people-commercial-redesign.css
.customers-hero-quickstats,3,3,styles/legacy-monolith.css | styles/pages/customers-shell.css | styles/runtime-overrides/01a4-people-detail-repair-header-filters.css
.customers-hero-mini,3,3,styles/legacy-monolith.css | styles/pages/customers-shell.css | styles/runtime-overrides/02e-people-commercial-redesign.css
.customers-toolbar__select-wrap,3,3,styles/legacy-monolith.css | styles/runtime-overrides/01a4-people-detail-repair-header-filters.css | styles/runtime-overrides/04b-people-list-unification.css
.customers-toolbar__icon,3,3,styles/legacy-monolith.css | styles/runtime-overrides/01a4-people-detail-repair-header-filters.css | styles/runtime-overrides/04b-people-list-unification.css
.customer-row-avatar,3,3,styles/legacy-monolith.css | styles/runtime-overrides/01a2-people-page-hero-lists.css | styles/runtime-overrides/04b-people-list-unification.css
.people-action-btn > i,3,3,styles/legacy-monolith.css | styles/components/unified-buttons.css | styles/runtime-overrides/01a7-shared-primitives-button-system.css
.people-action-btn-primary,3,3,styles/legacy-monolith.css | styles/runtime-overrides/01a2-people-page-hero-lists.css | styles/runtime-overrides/04b-people-list-unification.css
.people-action-btn-secondary,3,3,styles/legacy-monolith.css | styles/runtime-overrides/01a2-people-page-hero-lists.css | styles/runtime-overrides/04b-people-list-unification.css
.people-action-btn-danger,3,3,styles/legacy-monolith.css | styles/runtime-overrides/01a2-people-page-hero-lists.css | styles/runtime-overrides/04b-people-list-unification.css
.people-action-btn-tight .ux-btn__icon,3,3,styles/legacy-monolith.css | styles/components/unified-buttons.css | styles/runtime-overrides/01a7-shared-primitives-button-system.css
.inventory-table-action-btn .ux-btn__icon,3,3,styles/legacy-monolith.css | styles/components/unified-buttons.css | styles/runtime-overrides/01a7-shared-primitives-button-system.css
".ux-btn:hover:not(:disabled):not([aria-disabled=""true""]):not([data-loading=""true""])",3,3,styles/legacy-monolith.css | styles/components/unified-buttons.css | styles/runtime-overrides/01a7-shared-primitives-button-system.css
".ux-btn[aria-disabled=""true""]",3,3,styles/legacy-monolith.css | styles/components/unified-buttons.css | styles/runtime-overrides/01a7-shared-primitives-button-system.css
.phone-identity-block--edit .phone-identity-block__grid,3,3,styles/legacy-monolith.css | styles/components/unified-fields.css | styles/runtime-overrides/10a-installments-phone-edit-overrides.css
.phone-finance-block--edit .phone-finance-block__grid,3,3,styles/legacy-monolith.css | styles/components/unified-fields.css | styles/runtime-overrides/10a-installments-phone-edit-overrides.css
.phone-operations-block--edit .phone-operations-block__grid,3,3,styles/legacy-monolith.css | styles/components/unified-fields.css | styles/runtime-overrides/10a-installments-phone-edit-overrides.css
.phone-identity-block--edit .phone-identity-block__grid > *,3,3,styles/legacy-monolith.css | styles/components/unified-fields.css | styles/runtime-overrides/10a-installments-phone-edit-overrides.css
.phone-finance-block--edit .phone-finance-block__grid > *,3,3,styles/legacy-monolith.css | styles/components/unified-fields.css | styles/runtime-overrides/10a-installments-phone-edit-overrides.css
.phone-operations-block--edit .phone-operations-block__grid > *,3,3,styles/legacy-monolith.css | styles/components/unified-fields.css | styles/runtime-overrides/10a-installments-phone-edit-overrides.css
.phone-edit-vertical-form,3,3,styles/legacy-monolith.css | styles/components/unified-fields.css | styles/runtime-overrides/10a-installments-phone-edit-overrides.css
.phone-edit-horizontal-form .phone-operations-block--edit .phone-operations-block__grid,3,3,styles/legacy-monolith.css | styles/components/unified-fields.css | styles/runtime-overrides/10a-installments-phone-edit-overrides.css
.phone-edit-horizontal-form .phone-operations-block--edit .phone-operations-block__grid > *,3,3,styles/legacy-monolith.css | styles/components/unified-fields.css | styles/runtime-overrides/10a-installments-phone-edit-overrides.css
.phone-edit-horizontal-form .phone-identity-block--edit .phone-identity-block__field--model,3,3,styles/legacy-monolith.css | styles/components/unified-fields.css | styles/runtime-overrides/10a-installments-phone-edit-overrides.css
.phone-edit-horizontal-form .phone-identity-block--edit .phone-identity-block__field--imei,3,3,styles/legacy-monolith.css | styles/components/unified-fields.css | styles/runtime-overrides/10a-installments-phone-edit-overrides.css
.phone-edit-horizontal-form .phone-finance-block--edit .phone-finance-block__field--supplier,3,3,styles/legacy-monolith.css | styles/components/unified-fields.css | styles/runtime-overrides/10a-installments-phone-edit-overrides.css
