selector,occurrences,file_count,files
.people-filter-chip,10,10,styles/pages/partners.css | styles/legacy-monolith.css | styles/runtime-overrides/01a2-people-page-hero-lists.css | styles/runtime-overrides/01a4-people-detail-repair-header-filters.css | styles/runtime-overrides/01a5-partner-command-detail-refinement.css | styles/runtime-overrides/01a6-detail-kpi-filter-icon-system.css | styles/runtime-overrides/01a7-shared-primitives-button-system.css | styles/components/unified-fields.css | styles/runtime-overrides/02e-people-commercial-redesign.css | styles/runtime-overrides/04b-people-list-unification.css
.ledger-action-btn,10,5,styles/components/unified-buttons.css | styles/runtime-overrides/01a4-people-detail-repair-header-filters.css | styles/runtime-overrides/01a7-shared-primitives-button-system.css | styles/runtime-overrides/06a-enterprise-actions-fields-validation.css | styles/runtime-overrides/09a-telegram-settings-foundation.css
.report-page,10,4,styles/pages/reports.css | styles/legacy-monolith.css | styles/runtime-overrides/01b-people-foundation-after-fields.css | styles/runtime-overrides/03b-reports-mobile-settings-smoke.css
.ux-btn__content,10,4,styles/legacy-monolith.css | styles/components/unified-buttons.css | styles/runtime-overrides/01a7-shared-primitives-button-system.css | styles/runtime-overrides/01b-people-foundation-after-fields.css
.partners-action-btn,9,7,styles/pages/partners.css | styles/components/unified-buttons.css | styles/runtime-overrides/01a1-people-table-action-baseline.css | styles/runtime-overrides/01a2-people-page-hero-lists.css | styles/runtime-overrides/01a7-shared-primitives-button-system.css | styles/runtime-overrides/04b-people-list-unification.css | styles/runtime-overrides/09a-telegram-settings-foundation.css
.people-action-btn,9,7,styles/legacy-monolith.css | styles/components/unified-buttons.css | styles/runtime-overrides/01a1-people-table-action-baseline.css | styles/runtime-overrides/01a2-people-page-hero-lists.css | styles/runtime-overrides/01a7-shared-primitives-button-system.css | styles/runtime-overrides/04b-people-list-unification.css | styles/runtime-overrides/09a-telegram-settings-foundation.css
.ux-btn__icon,9,5,styles/legacy-monolith.css | styles/components/unified-buttons.css | styles/runtime-overrides/01a7-shared-primitives-button-system.css | styles/runtime-overrides/01b-people-foundation-after-fields.css | styles/runtime-overrides/06a-enterprise-actions-fields-validation.css
.people-secondary-btn,9,5,styles/legacy-monolith.css | styles/components/unified-buttons.css | styles/runtime-overrides/01a7-shared-primitives-button-system.css | styles/runtime-overrides/01b-people-foundation-after-fields.css | styles/runtime-overrides/09a-telegram-settings-foundation.css
textarea,9,4,index.css | styles/layout/responsive.css | styles/legacy-monolith.css | styles/components/unified-fields.css
.partners-hero,9,3,styles/pages/partners.css | styles/runtime-overrides/01a2-people-page-hero-lists.css | styles/runtime-overrides/02e-people-commercial-redesign.css
#telegram-settings-form .telegram-template-mode-buttons,9,3,styles/runtime-overrides/09c-telegram-template-center-cards.css | styles/runtime-overrides/09d1-telegram-studio-filter-controls.css | styles/runtime-overrides/09d2-telegram-studio-search-empty-states.css
.premium-submit-btn,8,6,styles/components/cards.css | styles/legacy-monolith.css | styles/components/unified-buttons.css | styles/runtime-overrides/01a7-shared-primitives-button-system.css | styles/runtime-overrides/01b-people-foundation-after-fields.css | styles/runtime-overrides/09a-telegram-settings-foundation.css
.premium-cancel-btn,8,6,styles/components/cards.css | styles/legacy-monolith.css | styles/components/unified-buttons.css | styles/runtime-overrides/01a7-shared-primitives-button-system.css | styles/runtime-overrides/01b-people-foundation-after-fields.css | styles/runtime-overrides/09a-telegram-settings-foundation.css
.customers-toolbar,8,5,styles/components/toolbars.css | styles/legacy-monolith.css | styles/runtime-overrides/01a2-people-page-hero-lists.css | styles/runtime-overrides/01a4-people-detail-repair-header-filters.css | styles/runtime-overrides/04b-people-list-unification.css
.detail-hero-card,8,5,styles/pages/customers.css | styles/legacy-monolith.css | styles/components/detail-hero.css | styles/runtime-overrides/02e-people-commercial-redesign.css | styles/runtime-overrides/03d-legacy-telegram-monitor-patches.css
.partners-toolbar-shell,8,5,styles/pages/partners.css | styles/runtime-overrides/01a2-people-page-hero-lists.css | styles/runtime-overrides/01a4-people-detail-repair-header-filters.css | styles/runtime-overrides/01a5-partner-command-detail-refinement.css | styles/runtime-overrides/04b-people-list-unification.css
select,8,4,index.css | styles/layout/responsive.css | styles/legacy-monolith.css | styles/components/unified-fields.css
.inventory-table-action-btn,8,4,styles/components/unified-buttons.css | styles/runtime-overrides/01a7-shared-primitives-button-system.css | styles/runtime-overrides/06a-enterprise-actions-fields-validation.css | styles/runtime-overrides/09a-telegram-settings-foundation.css
50%,8,3,styles/core/animations.css | styles/core/utilities.css | styles/legacy-monolith.css
.kpi-card,8,3,styles/pages/reports.css | styles/legacy-monolith.css | styles/components/badges.css
to,8,3,styles/pages/reports.css | styles/legacy-monolith.css | styles/components/unified-buttons.css
.modal-premium-header,8,3,styles/legacy-monolith.css | styles/components/forms.css | styles/components/modals.css
.ux-btn__label-main,8,3,styles/legacy-monolith.css | styles/components/unified-buttons.css | styles/runtime-overrides/01a7-shared-primitives-button-system.css
.phone-table-action-btn,8,3,styles/runtime-overrides/06e-accessibility-rtl-targeted-fixes.css | styles/runtime-overrides/07a-products-modal-precision-cleanup.css | styles/runtime-overrides/07b-products-modal-responsive-polish.css
.premium-drawer-panel,8,2,styles/legacy-monolith.css | styles/components/modals.css
.premium-drawer-panel__header,8,2,styles/legacy-monolith.css | styles/components/modals.css
.inventory-inline-add,7,6,styles/components/cards.css | styles/legacy-monolith.css | styles/components/unified-buttons.css | styles/runtime-overrides/01a7-shared-primitives-button-system.css | styles/runtime-overrides/01b-people-foundation-after-fields.css | styles/runtime-overrides/09a-telegram-settings-foundation.css
.partners-actions,7,5,styles/pages/partners.css | styles/components/unified-buttons.css | styles/runtime-overrides/01a1-people-table-action-baseline.css | styles/runtime-overrides/01a2-people-page-hero-lists.css | styles/runtime-overrides/01a7-shared-primitives-button-system.css
#telegram-settings-form .telegram-studio-mini-card,7,5,styles/runtime-overrides/09c-telegram-template-center-cards.css | styles/runtime-overrides/09d1-telegram-studio-filter-controls.css | styles/runtime-overrides/09d4-telegram-studio-cleanup-mini-cards.css | styles/runtime-overrides/09d5-telegram-lower-stat-cards.css | styles/runtime-overrides/09d6-telegram-lower-mini-cards-search.css
.people-table-shell,7,4,styles/components/toolbars.css | styles/legacy-monolith.css | styles/runtime-overrides/01a2-people-page-hero-lists.css | styles/runtime-overrides/04b-people-list-unification.css
.partners-stat-card,7,4,styles/pages/partners.css | styles/runtime-overrides/01a2-people-page-hero-lists.css | styles/runtime-overrides/02e-people-commercial-redesign.css | styles/runtime-overrides/04b-people-list-unification.css
.people-stat-card,7,4,styles/legacy-monolith.css | styles/runtime-overrides/01a2-people-page-hero-lists.css | styles/runtime-overrides/02e-people-commercial-redesign.css | styles/runtime-overrides/04b-people-list-unification.css
.report-filter-button,7,4,styles/legacy-monolith.css | styles/components/unified-buttons.css | styles/runtime-overrides/01a7-shared-primitives-button-system.css | styles/runtime-overrides/09a-telegram-settings-foundation.css
.partners-table-shell td,7,4,styles/runtime-overrides/01a2-people-page-hero-lists.css | styles/runtime-overrides/04b-people-list-unification.css | styles/runtime-overrides/07f-cross-module-density-pass.css | styles/runtime-overrides/08d-people-table-detail-contracts.css
.detail-severity-badge,7,3,styles/components/badges.css | styles/runtime-overrides/01a7-shared-primitives-button-system.css | styles/runtime-overrides/06e-accessibility-rtl-targeted-fixes.css
.people-page-shell,7,3,styles/runtime-overrides/01a2-people-page-hero-lists.css | styles/runtime-overrides/02e-people-commercial-redesign.css | styles/runtime-overrides/04b-people-list-unification.css
.customer-detail-actions,7,3,styles/runtime-overrides/01a4-people-detail-repair-header-filters.css | styles/runtime-overrides/01a5-partner-command-detail-refinement.css | styles/runtime-overrides/01a6-detail-kpi-filter-icon-system.css
#telegram-settings-form .tg-apple-setup-card__inner,7,2,styles/pages/telegram.css | styles/runtime-overrides/09d9-telegram-monitor-anchoring-hotfixes.css
.premium-empty-state-card,7,2,styles/legacy-monolith.css | styles/components/empty-states.css
.premium-modal-shell .premium-form-grid,7,2,styles/runtime-overrides/07a-products-modal-precision-cleanup.css | styles/runtime-overrides/07b-products-modal-responsive-polish.css
#telegram-settings-form .telegram-monitor-v2-checkcard,7,2,styles/runtime-overrides/09b-telegram-control-center-monitoring.css | styles/runtime-overrides/09c-telegram-template-center-cards.css
.phone-card-specs-row,7,1,styles/runtime-overrides/07b-products-modal-responsive-polish.css
.ux-table-row-actions,6,5,styles/components/tables.css | styles/components/toolbars.css | styles/legacy-monolith.css | styles/components/unified-buttons.css | styles/runtime-overrides/01a7-shared-primitives-button-system.css
.inventory-table-row-actions,6,5,styles/components/tables.css | styles/components/toolbars.css | styles/legacy-monolith.css | styles/components/unified-buttons.css | styles/runtime-overrides/01a7-shared-primitives-button-system.css
"#telegram-settings-form .telegram-monitor-v2-action__value[dir=""ltr""]",6,5,styles/runtime-overrides/09d1-telegram-studio-filter-controls.css | styles/runtime-overrides/09d3-telegram-monitor-title-value-layout.css | styles/runtime-overrides/09d7-telegram-monitor-card-standard.css | styles/runtime-overrides/09d8-telegram-monitor-size-placement-contract.css | styles/runtime-overrides/09d9-telegram-monitor-anchoring-hotfixes.css
"#telegram-settings-form .telegram-monitor-v2-action__value span[dir=""ltr""]",6,5,styles/runtime-overrides/09d1-telegram-studio-filter-controls.css | styles/runtime-overrides/09d3-telegram-monitor-title-value-layout.css | styles/runtime-overrides/09d7-telegram-monitor-card-standard.css | styles/runtime-overrides/09d8-telegram-monitor-size-placement-contract.css | styles/runtime-overrides/09d9-telegram-monitor-anchoring-hotfixes.css
.partners-table-shell,6,4,styles/pages/partners.css | styles/runtime-overrides/01a2-people-page-hero-lists.css | styles/runtime-overrides/04b-people-list-unification.css | styles/runtime-overrides/08d-people-table-detail-contracts.css
.modal-premium-badge,6,4,styles/legacy-monolith.css | styles/components/modals.css | styles/components/badges.css | styles/runtime-overrides/01a7-shared-primitives-button-system.css
