order,file,bytes,phase_marker
1,styles/legacy/08a-legacy-global-field-system.css,3498,/* Phase 44: global input/select system unification */
2,styles/legacy/08b-legacy-global-card-section-system.css,2827,/* Phase 45: global card + section header unification */
3,styles/legacy/08c-legacy-global-table-row-actions.css,3741,/* Phase 46: global table + row action unification */
