selector,body_variants,definitions,files
"#telegram-settings-form .telegram-monitor-v2-action__label, #telegram-settings-form .telegram-monitor-v2-checkcard strong",3,3,09b-telegram-control-center-monitoring.css | 09c-telegram-template-center-cards.css
"#telegram-settings-form .telegram-monitor-v2-action__state, #telegram-settings-form .telegram-monitor-v2-checkcard__cta, #telegram-settings-form .telegram-monitor-v2-checkcard__chip",3,3,09c-telegram-template-center-cards.css
"#telegram-settings-form .telegram-monitor-v2-action__top, #telegram-settings-form .telegram-monitor-v2-checkcard__top",3,3,09b-telegram-control-center-monitoring.css | 09c-telegram-template-center-cards.css
"#telegram-settings-form .telegram-monitor-v2-action__value, #telegram-settings-form .telegram-monitor-v2-checkcard p",3,3,09b-telegram-control-center-monitoring.css | 09c-telegram-template-center-cards.css
#telegram-settings-form .telegram-studio-mini-card__desc,3,3,09d4-telegram-studio-cleanup-mini-cards.css | 09d5-telegram-lower-stat-cards.css | 09d6-telegram-lower-mini-cards-search.css
#telegram-settings-form .telegram-studio-mini-card__icon,3,3,09d4-telegram-studio-cleanup-mini-cards.css | 09d5-telegram-lower-stat-cards.css | 09d6-telegram-lower-mini-cards-search.css
#telegram-settings-form .telegram-studio-mini-card__meta,3,3,09d4-telegram-studio-cleanup-mini-cards.css | 09d5-telegram-lower-stat-cards.css | 09d6-telegram-lower-mini-cards-search.css
#telegram-settings-form .telegram-studio-mini-card__top,3,3,09d4-telegram-studio-cleanup-mini-cards.css | 09d5-telegram-lower-stat-cards.css | 09d6-telegram-lower-mini-cards-search.css
#telegram-settings-form .telegram-studio-mini-card__value,3,3,09d4-telegram-studio-cleanup-mini-cards.css | 09d5-telegram-lower-stat-cards.css | 09d6-telegram-lower-mini-cards-search.css
#telegram-settings-form .telegram-studio-mode-button,3,3,09c-telegram-template-center-cards.css | 09d1-telegram-studio-filter-controls.css
#telegram-settings-form .telegram-studio-toolbar,3,3,09c-telegram-template-center-cards.css | 09d1-telegram-studio-filter-controls.css
#telegram-settings-form .telegram-studio-unified-hero,3,3,09c-telegram-template-center-cards.css | 09d1-telegram-studio-filter-controls.css
#telegram-settings-form .telegram-studio-unified-panel,3,3,09c-telegram-template-center-cards.css | 09d1-telegram-studio-filter-controls.css
#telegram-settings-form .tg-apple-check-row__body,3,3,09a-telegram-settings-foundation.css | 09b-telegram-control-center-monitoring.css
#telegram-settings-form .tg-apple-check-row__icon,3,3,09a-telegram-settings-foundation.css | 09b-telegram-control-center-monitoring.css
"#telegram-settings-form .tg-apple-setup-card__hint, #telegram-settings-form .telegram-monitor-v2-action__value",3,3,09d9-telegram-monitor-anchoring-hotfixes.css
"#telegram-settings-form .tg-apple-setup-card__icon, #telegram-settings-form .telegram-monitor-v2-action__icon",3,3,09d9-telegram-monitor-anchoring-hotfixes.css
"#telegram-settings-form .tg-apple-setup-card__status, #telegram-settings-form .telegram-monitor-v2-action__state",3,3,09d9-telegram-monitor-anchoring-hotfixes.css
".app-sidebar .ux-sidebar-list .sidebar-nav-row[data-sidebar-active=""true""]",3,3,03e-sidebar-settings-dashboard-root-fixes.css | 10f-sidebar-final-polish.css
.dark .phone-addable-autocomplete__menu,3,3,01b-people-foundation-after-fields.css | 03b-reports-mobile-settings-smoke.css
.dashboard-kpi-surface-note,3,3,06d-kpi-navigation-density-mobile.css
.partners-kpi-board,3,3,01a5-partner-command-detail-refinement.css
.partners-table-shell .partner-col-actions,3,3,08d-people-table-detail-contracts.css
.partners-table-shell .partner-col-balance,3,3,08d-people-table-detail-contracts.css
".partners-table-shell th:nth-child(1), .partners-table-shell td:nth-child(1)",3,3,07f-cross-module-density-pass.css | 08d-people-table-detail-contracts.css
".partners-table-shell th:nth-child(2), .partners-table-shell td:nth-child(2)",3,3,07f-cross-module-density-pass.css | 08d-people-table-detail-contracts.css
".partners-table-shell th:nth-child(3), .partners-table-shell td:nth-child(3)",3,3,07f-cross-module-density-pass.css | 08d-people-table-detail-contracts.css
